Rk,Squad,MP,W,D,L,GF,GA,GD,Pts,xG,xGA,xGD,xGD/90,Top Team Scorer,Goalkeeper
1,Real Madrid,13,9,4,0,28,15,+13,31,25.1,17.5,+7.6,+0.59,Vinicius Júnior - 6,Andriy Lunin
2,Dortmund,13,7,3,3,17,11,+6,24,17.2,23.6,-6.4,-0.49,Niclas Füllkrug - 3,Gregor Kobel
SF,Bayern Munich,12,7,3,2,21,13,+8,24,19.0,15.0,+4.0,+0.33,Harry Kane - 8,Manuel Neuer
SF,Paris S-G,12,5,2,5,19,15,+4,17,24.3,13.3,+11.0,+0.91,Kylian Mbappé - 8,Gianluigi Donnarumma
QF,Manchester City,10,8,2,0,28,13,+15,26,24.6,6.9,+17.7,+1.77,Erling Haaland - 6,Ederson
QF,Atlético Madrid,10,6,2,2,23,13,+10,20,16.7,12.7,+3.9,+0.39,Antoine Griezmann - 6,Jan Oblak
QF,Barcelona,10,6,1,3,20,14,+6,19,16.9,11.3,+5.6,+0.56,Raphinha/Robert Lewandowski - 3,Marc-André ter Stegen
QF,Arsenal,10,5,2,3,19,8,+11,17,13.4,8.5,+4.9,+0.49,Leandro Trossard/Gabriel Jesus - 4,David Raya
R16,Porto,8,5,0,3,16,9,+7,15,11.4,7.7,+3.7,+0.46,Galeno - 5,Diogo Costa
R16,Inter,8,4,3,1,10,7,+3,15,16.2,8.6,+7.6,+0.94,Alexis Sánchez/Marko Arnautović - 2,Yann Sommer
R16,RB Leipzig,8,4,1,3,14,12,+2,13,12.2,10.7,+1.5,+0.19,Loïs Openda - 4,Janis Blaswich
R16,Lazio,8,4,1,3,8,10,-2,13,10.6,11.7,-1.1,-0.14,Ciro Immobile - 4,Ivan Provedel
R16,Real Sociedad,8,3,3,2,8,6,+2,12,10.3,6.4,+3.9,+0.49,Brais Méndez - 3,Álex Remiro
R16,Napoli,8,3,2,3,12,13,-1,11,10.5,11.6,-1.1,-0.13,Victor Osimhen - 2,Alex Meret
R16,PSV Eindhoven,8,2,4,2,9,13,-4,10,11.0,11.0,0.0,0.00,Luuk de Jong - 3,Walter Benítez
R16,FC Copenhagen,8,2,2,4,10,14,-4,8,9.1,12.8,-3.7,-0.46,Mohamed Elyounoussi/Lukas Lerager - 3,Kamil Grabara
GR,Shakhtar,6,3,0,3,10,12,-2,9,7.4,10.9,-3.5,-0.58,Danylo Sikan - 4,Dmytro Riznyk
GR,Milan,6,2,2,2,5,8,-3,8,9.6,7.7,+1.9,+0.32,Samuel Chukwueze - 2,Mike Maignan
GR,Lens,6,2,2,2,6,11,-5,8,6.1,7.5,-1.4,-0.23,Angelo Fulgini/Elye Wahi - 2,Brice Samba
GR,Feyenoord,6,2,0,4,9,10,-1,6,10.6,8.0,+2.6,+0.43,Santiago Giménez - 2,Justin Bijlow
GR,Newcastle Utd,6,1,2,3,6,7,-1,5,5.9,12.3,-6.4,-1.07,Dan Burn/Fabian Schär - 1,Nick Pope
GR,Galatasaray,6,1,2,3,10,13,-3,5,9.8,10.2,-0.4,-0.07,Mauro Icardi/Hakim Ziyech - 2,Fernando Muslera
GR,Manchester Utd,6,1,1,4,12,15,-3,4,10.5,11.4,-0.9,-0.15,Rasmus Højlund - 5,André Onana
GR,Benfica,6,1,1,4,7,11,-4,4,7.8,15.9,-8.1,-1.34,João Mário - 3,Anatolii Trubin
GR,RB Salzburg,6,1,1,4,4,8,-4,4,7.4,11.4,-3.9,-0.66,Oscar Gloukh - 2,Alexander Schlager
GR,Young Boys,6,1,1,4,7,13,-6,4,6.4,15.3,-8.9,-1.48,Meschak Elia - 2,Anthony Racioppi
GR,Braga,6,1,1,4,6,12,-6,4,8.3,10.0,-1.7,-0.28,Bruma/Álvaro djaló - 2,Matheus
GR,Celtic,6,1,1,4,5,15,-10,4,4.9,11.7,-6.8,-1.13,Kyogo Furuhashi/Luis Enrique Palma - 2,Joe Hart
GR,Antwerp,6,1,0,5,6,17,-11,3,6.2,11.1,-4.9,-0.81,Vincent Janssen/Arbnor Muja - 1,Jean Butez
GR,Union Berlin,6,0,2,4,6,10,-4,2,5.6,11.5,-5.9,-0.98,Sheraldo Becker - 2,Frederik Rønnow
GR,Sevilla,6,0,2,4,7,12,-5,2,5.9,10.8,-4.9,-0.81,Sergio Ramos/Nemanja Gudelj - 2,Marko Dmitrović
GR,Red Star,6,0,1,5,7,15,-8,1,8.7,14.8,-6.1,-1.02,Osman Bukari - 2,Omri Glazer
